model_name,model_label,representative_label,selection_display_label,selection_category,harmonic_number,alpha,metric_name,metric_value,representative_D0,arterial_pressure_phase_difference_deg,folded_arterial_phase_difference_deg,profile_run_dir
taylor_ideal,Taylor-expanded ideal admittance,F1,Flow-Prioritized 1,flow_prioritized,1,0.0,complex_flow_rmse_nl_s,0.0429057112544425,0.0794328234724,0.0689298090011535,0.0689298090011535,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/F1/alpha_0/D0_0p0794328234724
taylor_ideal,Taylor-expanded ideal admittance,F1,Flow-Prioritized 1,flow_prioritized,1,0.0,kirchhoff_rms_per_internal_node_nl_s,0.5991646906587107,0.1,0.1251709397041611,0.1251709397041611,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/F1/alpha_0/D0_0p1
taylor_ideal,Taylor-expanded ideal admittance,F1,Flow-Prioritized 1,flow_prioritized,1,1.0,complex_flow_rmse_nl_s,0.0424930134624511,0.0501187233627,1.9124145736311744,1.9124145736311744,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/F1/alpha_1/D0_0p0501187233627
taylor_ideal,Taylor-expanded ideal admittance,F1,Flow-Prioritized 1,flow_prioritized,1,1.0,kirchhoff_rms_per_internal_node_nl_s,0.5921577353917435,0.063095734448,1.7189780129488994,1.7189780129488994,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/F1/alpha_1/D0_0p063095734448
taylor_ideal,Taylor-expanded ideal admittance,F1,Flow-Prioritized 1,flow_prioritized,1,2.0,complex_flow_rmse_nl_s,0.0420062460975312,0.0199526231497,3.868619232343996,3.868619232343996,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/F1/alpha_2/D0_0p0199526231497
taylor_ideal,Taylor-expanded ideal admittance,F1,Flow-Prioritized 1,flow_prioritized,1,2.0,kirchhoff_rms_per_internal_node_nl_s,0.5865143025269274,0.0501187233627,2.805903898625748,2.805903898625748,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/F1/alpha_2/D0_0p0501187233627
taylor_ideal,Taylor-expanded ideal admittance,K1,Kirchhoff-Prioritized 1,conservation_prioritized,1,0.0,complex_flow_rmse_nl_s,0.337413393034531,0.0501187233627,0.9175777871600764,0.9175777871600764,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/K1/alpha_0/D0_0p0501187233627
taylor_ideal,Taylor-expanded ideal admittance,K1,Kirchhoff-Prioritized 1,conservation_prioritized,1,0.0,kirchhoff_rms_per_internal_node_nl_s,0.0948408504407996,0.00398107170553,0.1268786829151146,0.1268786829151146,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/K1/alpha_0/D0_0p00398107170553
taylor_ideal,Taylor-expanded ideal admittance,K1,Kirchhoff-Prioritized 1,conservation_prioritized,1,1.0,complex_flow_rmse_nl_s,0.333250275527036,0.0501187233627,1.210265904897748,1.210265904897748,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/K1/alpha_1/D0_0p0501187233627
taylor_ideal,Taylor-expanded ideal admittance,K1,Kirchhoff-Prioritized 1,conservation_prioritized,1,1.0,kirchhoff_rms_per_internal_node_nl_s,0.0944664656207485,0.00158489319246,1.018289724737738,1.018289724737738,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/K1/alpha_1/D0_0p00158489319246
taylor_ideal,Taylor-expanded ideal admittance,K1,Kirchhoff-Prioritized 1,conservation_prioritized,1,2.0,complex_flow_rmse_nl_s,0.3284497933730453,0.063095734448,0.6305948738819085,0.6305948738819085,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/K1/alpha_2/D0_0p063095734448
taylor_ideal,Taylor-expanded ideal admittance,K1,Kirchhoff-Prioritized 1,conservation_prioritized,1,2.0,kirchhoff_rms_per_internal_node_nl_s,0.0942610245335007,0.00063095734448,1.0923608067218644,1.0923608067218644,/mnt/home/sswee/yolk/Yolk-Sac-Flow-Data-and-Sim/gnn_clean/outputs_harmonized/ac/03_distensibility_alpha_profiles_q10_k10_delta0p1_B1/H1/K1/alpha_2/D0_0p00063095734448
